Action,Data,Expected Result
Log in as a user with Receipt Reallocation access,,User is logged in successfully
Navigate to 'Loan Origination and Management',,The main module screen is displayed
Navigate to 'Transaction Management' > 'Receipt Reallocation',,The Receipt Reallocation screen is displayed with available options
Observe the validation message,,"Validation message: ""Please select a contract before proceeding"" is displayed"
Verify that the 'Create New' button is visible,,'Create New' button is visible and enabled
"On the Receipt Reallocation screen, click 'Create New' without selecting a contract",,System prompts for contract selection
Select a valid contract from the list,,Contract details are displayed automatically
Click 'Create New' again,,New reallocation form is displayed for the selected contract
Select a contract with both active and cancelled receipts,,Contract details are displayed
Search for receipts for the selected contract,,Receipt list is displayed
Review the list of receipts,,Only active receipts are shown; cancelled receipts are excluded
Attempt to search for a known cancelled receipt number,,Cancelled receipt is not found in the results
"On the Receipt Reallocation screen, search and display receipts for a contract",,Receipt grid is populated
Enable the 'Transfer All Receipts to Excess Payment' toggle,,All Excess Pay toggles in the grid become active
Observe the state of each Excess Pay toggle,,Each Excess Pay toggle is enabled by default
Disable the main toggle,,All grid-level Excess Pay toggles are deactivated
"With multiple receipts listed, attempt to update transaction type for a non-latest receipt",,'Update Transaction Type' action is disabled for non-latest receipts
Attempt to update transaction type for the latest receipt,,'Update Transaction Type' action is enabled
Click 'Update Transaction Type' for the latest receipt,,Receipt Details popup is displayed
Edit allocation amount and select a new transaction type,,Changes are accepted and saved
"In the Receipt Details popup, attempt to edit allocation amount for an earlier allocation before the latest is adjusted",,Edit is blocked; system enforces latest-first editing
Edit allocation amount for the latest allocation,,Edit is allowed and saved
"After adjusting the latest allocation, attempt to edit the previous allocation",,Edit is now allowed
Save changes and close the popup,,Allocation changes are reflected in the grid
Search for receipts including credit notes,,Credit notes are listed in the grid
Attempt to reallocate a credit note to a different transaction type,,System blocks the action and displays a warning
Attempt to reallocate a credit note to the same transaction type and due,,Allocation is allowed and saved
"If no matching due is found, observe the system response",,System keeps the credit note for the already allocated due and displays a message
Complete a valid receipt reallocation and click 'Save',,Request is moved to the Pending Request tab with status 'Pending'
"In the Pending Request tab, select the saved request",,Request details are displayed
Click 'Approve',,Status changes to 'Approved'
